Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,rad21_T1,rad21_T2,rad21_T3,rad21_T4
dati,34.96382456,2.020491831,0.31987334,6.316537129,2.67E-10,3.43E-08,18.39891479,11.15131335,11.04439932,16.33673736,55.44803513,63.05938503,49.82287159,54.44893987
E(spl)m6-BFM,36.38201417,-3.206368551,0.512429502,-6.257189606,3.92E-10,4.97E-08,66.90514469,31.0643729,66.2663959,97.41535982,11.08960703,2.425360963,5.480515875,10.40935615
CNT1,39.59343085,2.313110517,0.369799046,6.255047279,3.97E-10,4.97E-08,20.07154341,11.15131335,12.59061522,9.681029548,83.1720527,75.18618984,67.26087665,37.63382609
Cyp6a9,460.0982933,1.227505876,0.197300977,6.221489099,4.92E-10,6.08E-08,230.8227492,204.7062522,341.2719389,314.6334603,720.8244567,662.1235428,646.7008733,559.7030731
v,10.51523804,6.721416365,1.082749614,6.207729171,5.38E-10,6.55E-08,0,0,0,0.605064347,27.72401757,12.12680481,16.44154763,27.22446994
Swim,19600.63238,2.330723372,0.382771032,6.089079838,1.14E-09,1.37E-07,5717.044614,8168.337027,4669.792919,7442.291465,52719.99181,46501.44574,17857.01541,13729.14004
CG15312,591.7953798,1.587060202,0.26103203,6.079944289,1.20E-09,1.43E-07,371.323553,209.4853865,315.2071565,288.010629,942.6165973,727.6082888,601.3620601,1278.749367
Gabat,247.2092019,1.514668382,0.250362599,6.049898789,1.45E-09,1.70E-07,178.9712621,92.39659631,138.0549915,102.2558746,449.1290846,368.6548663,263.064762,385.1461776
Or71a,18.58235231,-4.064569636,0.673821601,-6.032115374,1.62E-09,1.88E-07,35.12520096,42.21568624,42.63138136,23.59750952,0,0,3.487601011,1.601439408
CG42240,650.9005883,-1.084235716,0.180893222,-5.993788506,2.05E-09,2.35E-07,1065.464429,685.8057709,1015.422073,782.9532647,377.0466389,390.483115,442.4270997,447.6023145
PGRP-SD,1298.789738,1.131476753,0.189374781,5.97480163,2.30E-09,2.61E-07,685.7777331,933.5242316,869.4151142,757.5405621,2001.674068,2015.47496,1885.79569,1241.115541
CG42524,22.4130452,3.314910442,0.556780206,5.953714596,2.62E-09,2.93E-07,1.672628617,7.168701438,3.975983754,1.81519304,66.53764216,48.50721925,26.40612194,23.22087142
Tl,712.210347,1.646285165,0.276659374,5.95058515,2.67E-09,2.95E-07,413.1392685,270.0210875,301.7329893,399.3424688,953.7062043,856.1524198,754.8165046,1748.771833
apolpp,327.0863116,1.707895711,0.288137514,5.927363241,3.08E-09,3.36E-07,183.9891479,82.04180534,181.1281488,169.4180171,399.225853,453.5425,423.4944085,723.8506124
Snmp1,142.7466491,1.521537532,0.258749463,5.880350488,4.09E-09,4.42E-07,80.28617363,69.29744723,80.62411501,59.90137033,266.1505686,244.9614572,214.2383478,126.5137132
ppk30,29.84829173,-5.073765512,0.863552378,-5.875457752,4.22E-09,4.50E-07,65.23251608,35.04698481,63.39485208,57.48111294,16.63441054,0,0.996457432,0
CG14516,511.1921488,1.722512787,0.294292967,5.85305454,4.83E-09,5.10E-07,230.8227492,185.589715,250.4869765,278.3295995,1042.423061,827.0480883,361.215819,913.6211822
cutlet,589.8312123,1.880281625,0.322375211,5.832587495,5.46E-09,5.70E-07,275.9837219,174.4384016,367.7784972,185.1496901,1158.863934,1188.426872,902.7904332,465.218148
CG43405,71.10574639,-1.784549369,0.306948398,-5.813841611,6.11E-09,6.31E-07,81.95880225,137.0018497,123.4763844,101.6508103,22.17921405,38.8057754,41.35298342,22.42015171
CG10089,112.3648874,2.602076281,0.449441964,5.789571272,7.06E-09,7.21E-07,38.4704582,30.26785051,31.58698205,24.20257387,371.5018354,208.5810428,59.78744591,134.5209103
AstC-R1,104.6644006,2.701063012,0.470247471,5.743918216,9.25E-09,9.35E-07,26.76205788,23.09914908,28.27366225,30.25321734,327.1434073,247.3868182,54.30693004,100.089963
CG14332,11.41907565,-6.345765365,1.107849617,-5.728002491,1.02E-08,1.02E-06,23.41680064,28.67480575,24.73945447,14.52154432,0,0,0,0
Prip,160.6596687,-1.668991512,0.291654632,-5.722492728,1.05E-08,1.04E-06,220.7869775,246.9219384,300.4076614,221.4535509,60.99283865,46.08185829,120.5713493,68.06117484
CG42329,42.88440092,-2.600892186,0.45622932,-5.700844013,1.19E-08,1.17E-06,86.9766881,82.04180534,87.91341856,31.46334603,22.17921405,12.12680481,9.964574318,10.40935615
Rtnl1,1553.967113,1.296085006,0.228039534,5.683597863,1.32E-08,1.28E-06,956.7435691,830.7728444,923.0908949,877.9483671,2700.319311,2958.940374,1737.821761,1446.099785
Shaw,154.3489042,1.781567909,0.31381881,5.67705903,1.37E-08,1.32E-06,73.59565916,58.14613388,81.50766696,59.90137033,321.5986038,278.9165107,112.1014611,249.0238279
PCNA,137.78161,-1.581431539,0.279097208,-5.666239194,1.46E-08,1.39E-06,294.3826366,171.2523121,212.9360188,160.9471162,44.35842811,60.63402407,89.68116887,68.06117484
eEF1alpha2,204.896823,2.430565848,0.429809533,5.654983572,1.56E-08,1.47E-06,120.4292604,51.77395483,44.17759727,41.74943992,537.8459408,448.6917781,145.482785,249.0238279
Ant2,243.147547,-1.183920532,0.209489994,-5.651441915,1.59E-08,1.48E-06,319.4720659,426.9359967,335.5288512,264.4131195,177.4337124,121.2680481,166.4083911,133.7201906
Irc,82.11210255,2.567271387,0.45549662,5.636202931,1.74E-08,1.60E-06,31.77994373,13.54088049,28.05277426,19.3620591,227.3369441,194.028877,52.31401517,90.48132655
Ttc26,13.36031778,-5.913451954,1.050012932,-5.631789644,1.78E-08,1.63E-06,36.79782958,17.5234924,35.12118983,16.94180171,0,0,0.498228716,0
CG13654,498.5519718,1.702208137,0.302792167,5.621704665,1.89E-08,1.71E-06,217.4417203,266.0384756,207.8555951,239.6054813,1031.333453,1084.13635,391.109542,550.8951563
MtnD,58.25520429,2.520880812,0.450990782,5.589650418,2.28E-08,2.02E-06,20.07154341,9.558268583,24.51856648,15.12660867,88.71685621,65.48474599,56.79807362,185.7669713
Shal,134.3345035,1.264845771,0.226291233,5.589459879,2.28E-08,2.02E-06,70.25040193,70.89049199,77.75257119,90.75965201,216.247337,206.1556818,132.0306097,210.5892821
Ugt301D1,30.15875548,-2.86570968,0.514732186,-5.56738,2.59E-08,2.28E-06,86.9766881,43.80873101,56.98910047,27.2278956,5.544803513,4.850721925,9.466345603,6.405757632
CG42495,93.66174254,-1.067629726,0.19246812,-5.547047086,2.91E-08,2.51E-06,122.1018891,125.8505363,124.5808243,137.3496067,55.44803513,60.63402407,63.27504692,60.0539778
tutl,468.2680158,1.652743297,0.2979023,5.547937356,2.89E-08,2.51E-06,275.9837219,173.6418793,218.4582185,232.3447091,937.0717938,802.7944786,324.3468941,781.5024311
Rbp9,130.0853497,1.701868994,0.307030893,5.542989436,2.97E-08,2.55E-06,75.26828778,50.97743244,54.33844464,61.11149902,260.6057651,244.9614572,99.64574318,193.7741684
Gnmt,133.1061961,1.431022706,0.258571576,5.534338806,3.12E-08,2.65E-06,81.95880225,48.5878653,81.50766696,71.39759291,243.9713546,191.603516,132.0306097,213.792161
spir,1590.206782,-0.985702537,0.179622542,-5.487632712,4.07E-08,3.40E-06,1970.356511,2659.588233,1770.858986,2055.403586,1064.602275,960.4429412,923.2178106,1317.183913
CG32017,180.4282078,1.331395625,0.242616776,5.487648657,4.07E-08,3.40E-06,110.3934887,80.44876058,121.2675045,95.60016678,260.6057651,300.7447594,170.8924496,303.4727678
kek1,650.3826301,2.22651035,0.406667247,5.475017639,4.37E-08,3.61E-06,316.1268087,283.561968,197.2529718,117.9875476,1635.717036,1540.104211,648.6937881,463.6167086
bru3,459.9666056,1.617194264,0.295577775,5.471298593,4.47E-08,3.66E-06,232.4953778,185.589715,253.8002963,225.6890013,942.6165973,870.7045856,321.8557505,646.9815208
trpl,14.42518606,3.064594768,0.560424887,5.468341677,4.54E-08,3.69E-06,3.345257235,2.389567146,2.208879863,4.235450427,33.26882108,26.67897059,14.44863276,28.82590934
CG4393,127.0171468,1.606522322,0.294731936,5.450791472,5.01E-08,3.97E-06,51.85148714,42.21568624,90.78496238,59.29630598,216.247337,249.8121792,144.9845563,160.9446605
