Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,esg_T1,esg_T2,esg_T3
CG33523,425.4263897,1.043576463,0.166060267,6.284323656,3.29E-10,3.01E-08,243.3064687,320.0091857,290.8484139,315.6398837,593.6188084,542.2178802,672.344087
piwi,28.70384894,-3.696496579,0.588729369,-6.278770476,3.41E-10,3.09E-08,40.89184349,39.24640957,61.12746326,48.8219964,2.064761073,4.256027317,4.518441445
nerfin-1,56.12321681,3.384335033,0.541019301,6.255479296,3.96E-10,3.56E-08,8.178368697,15.09477291,9.859268267,11.35395265,135.2418503,163.431449,49.7028559
Reg-5,87.19686083,-3.499304998,0.56205536,-6.22590806,4.79E-10,4.23E-08,226.9497313,68.4296372,170.565341,106.7271549,5.161902682,14.47049288,18.07376578
CG42329,108.8677787,3.129769099,0.502714504,6.225738616,4.79E-10,4.23E-08,33.73577088,36.22745499,14.7889024,15.89553371,124.9180449,180.4555582,356.0531859
CG6928,227.1334634,-1.313450805,0.211274741,-6.216790508,5.07E-10,4.43E-08,308.7334183,277.7438216,373.6662673,261.140911,124.9180449,136.1928741,107.5389064
CG6024,45.05432602,2.935734101,0.472551086,6.212522174,5.21E-10,4.52E-08,12.26755305,5.03159097,13.80297557,15.89553371,71.23425701,114.9127376,82.2356343
CG6602,27.93307992,4.042410694,0.651885992,6.201100717,5.61E-10,4.81E-08,2.044592174,1.006318194,4.929634134,6.812371591,74.33139862,47.66750595,58.73973879
CG6006,593.262058,-0.989981994,0.159869515,-6.192437577,5.92E-10,5.04E-08,801.4801323,606.809871,772.9666322,833.3801246,375.7865152,356.6550891,405.7560418
Tsp29Fb,1069.732832,0.901147271,0.145572638,6.190361637,6.00E-10,5.06E-08,689.0275627,812.0987826,879.4467294,738.0069223,1493.854636,1272.552168,1603.143025
Ccdc85,169.8751687,-1.782363767,0.28836209,-6.180991985,6.37E-10,5.33E-08,268.8638709,234.4721392,230.7068775,242.9745867,41.29522146,87.67416273,83.13932259
Akap200,1145.338334,0.798184853,0.129455544,6.165706231,7.02E-10,5.82E-08,986.5157241,802.0356007,825.220754,866.3065873,1356.548025,1572.176491,1608.565154
LTV1,1198.544142,-0.721152901,0.117179678,-6.15424887,7.54E-10,6.20E-08,1499.70836,1308.213652,1509.453972,1448.764358,868.2320311,798.4307246,957.0058981
Ugt37A3,226.5294847,3.129623601,0.508669845,6.152563654,7.62E-10,6.21E-08,29.64658653,51.3222279,96.62082902,31.79106742,243.6418066,389.8521022,742.8317736
Pi3K21B,867.3363501,1.07797536,0.175974173,6.125758903,9.03E-10,7.30E-08,502.9696749,554.4813249,560.0064376,733.4653413,1202.723325,1113.376746,1404.331601
DOR,939.666236,-0.648632845,0.105998393,-6.119270549,9.40E-10,7.54E-08,1109.191255,1015.375058,1117.055095,1208.060562,697.8892426,710.7565619,719.3358781
CG12926,503.1856673,1.194750472,0.195466735,6.112295646,9.82E-10,7.74E-08,290.3320888,376.3630046,263.2424627,366.7326706,786.6739687,625.6360156,813.3194601
CG13784,234.1108857,1.115779144,0.182510942,6.113491796,9.75E-10,7.74E-08,176.8572231,140.8845472,160.7060728,145.3305939,371.6569931,294.5170903,348.8236796
slam,32.67161263,-3.457183541,0.56576195,-6.110668175,9.92E-10,7.76E-08,54.18169262,42.26536415,76.90229249,40.87422954,3.097141609,5.958438243,5.422129734
Lrch,1569.322757,-1.316183611,0.215500398,-6.107569293,1.01E-09,7.85E-08,2602.765838,1557.780564,2331.716945,1950.609065,756.7349332,1026.553789,759.0981628
Gs1,405.7514706,1.66814871,0.273762948,6.0934057,1.11E-09,8.51E-08,142.0991561,271.7059124,180.4246093,245.2453773,826.9368096,616.2727555,557.5756743
CG10562,304.1010975,1.6153087,0.265784955,6.077502385,1.22E-09,9.32E-08,111.4302735,210.3205026,140.9875362,182.7986377,539.9350205,399.2153623,544.02035
CG14457,208.6010469,1.300258211,0.214601269,6.058949323,1.37E-09,1.04E-07,107.3410892,117.7392287,144.9312435,143.0598034,292.1636918,281.7490084,373.2232634
bowl,197.4659867,2.052280344,0.33879092,6.057660412,1.38E-09,1.04E-07,81.78368697,51.3222279,95.63490219,107.8625502,244.6741871,331.9701307,469.014222
CG5921,225.1358433,1.964719318,0.326724979,6.013373466,1.82E-09,1.36E-07,95.07353611,115.7265923,83.80378027,106.7271549,345.8474797,247.7007898,581.0715698
klu,856.5803139,-1.316424769,0.219212122,-6.005255349,1.91E-09,1.41E-07,1244.134338,943.9264661,1391.142753,1029.803505,352.0417629,566.9028386,468.1105337
Pdcd4,1466.204628,-0.91711344,0.152777894,-6.002919755,1.94E-09,1.42E-07,2010.856403,1716.778839,1982.698849,1636.104577,877.5234559,1145.722554,893.7477178
CG13604,401.2492233,1.234777008,0.207069523,5.963103545,2.47E-09,1.81E-07,244.3287648,223.4026391,286.9047066,261.140911,558.5178702,483.4847032,750.9649682
bbg,732.4738158,1.273034284,0.21362649,5.959159306,2.54E-09,1.84E-07,492.746714,398.5020049,512.6819499,418.9608528,968.3729431,893.7657365,1442.286509
Cyp9b2,504.7154496,1.860960508,0.313490977,5.936249025,2.92E-09,2.08E-07,188.10248,331.0786859,208.0305604,221.4020767,634.9140299,685.220398,1264.259916
CG30414,220.6043116,-1.388034072,0.233836582,-5.935914983,2.92E-09,2.08E-07,325.0901557,336.1102768,253.3831945,284.9842115,147.6304167,102.1446556,94.88727035
sqa,286.4467725,1.860657683,0.314025466,5.925180865,3.12E-09,2.21E-07,81.78368697,147.9287745,133.1001216,175.9862661,402.6284092,409.4298279,654.2703213
CG44085,723.1437696,-1.783511328,0.301343711,-5.91852846,3.25E-09,2.28E-07,1343.297059,739.6438727,1222.549265,851.5464488,190.9903992,350.6966509,363.2826922
CG32091,368.7907433,-1.82397246,0.30848019,-5.912770152,3.36E-09,2.35E-07,459.0109431,614.8604166,340.1447552,716.4344123,156.9218415,183.0091746,111.1536596
hfp,919.4925243,-0.65278427,0.110429946,-5.911297568,3.39E-09,2.35E-07,1069.321707,1152.234332,1105.223973,1030.938901,656.5940211,663.9402614,758.1944745
pkaap,173.6616307,-1.037524088,0.176382331,-5.882245016,4.05E-09,2.78E-07,215.7044744,207.301548,241.5520725,225.9436578,102.2056731,107.2518884,115.672101
CG16959,91.69742979,2.80404574,0.477439716,5.873088579,4.28E-09,2.92E-07,19.42362566,30.18954582,13.80297557,39.73883428,215.7675321,97.03742282,225.9220723
Cbl,1452.757831,-1.403424273,0.239647593,-5.856200154,4.74E-09,3.21E-07,1679.632471,2152.514617,1401.002021,2689.751383,850.681562,740.5487531,655.1740095
asf1,509.0819229,0.68765432,0.117986927,5.828224681,5.60E-09,3.77E-07,374.1603679,428.6915507,384.5114624,426.9086197,652.464499,658.8330286,638.0039321
Sk2,119.7049335,-1.297833603,0.222907032,-5.822308942,5.80E-09,3.88E-07,154.3667092,180.1309567,140.9875362,166.903104,57.81331004,67.2452316,70.48768654
CG8907,447.4013538,1.901281753,0.326726127,5.819191049,5.91E-09,3.93E-07,132.8984913,303.9080946,134.0860484,253.1931441,715.4397117,718.4174111,873.8665755
CG17930,188.3061957,2.413931363,0.41861311,5.766497282,8.09E-09,5.34E-07,48.0479161,114.7202741,29.5778048,71.5299017,366.4950904,350.6966509,337.0757318
CG34370,88.27360429,-2.113179144,0.366530358,-5.76535913,8.15E-09,5.34E-07,135.9653796,127.8024106,157.7482923,105.5917597,18.58284965,45.11388956,27.11064867
mex1,885.6348013,0.750199415,0.130154671,5.763906972,8.22E-09,5.35E-07,755.4768084,643.037326,688.1769251,653.9876727,1215.111891,1014.636912,1229.016073
sba,604.0902611,-1.163843626,0.202490333,-5.747650325,9.05E-09,5.85E-07,750.365328,848.3262376,683.2472909,885.6083068,440.826489,346.4406236,273.8175516
Nepl21,68.01148707,-2.173442052,0.3787184,-5.738939682,9.53E-09,6.12E-07,83.82827915,122.7708197,78.87414614,122.6226886,23.74475234,15.32169834,28.91802525
CG33099,192.5531029,2.00290497,0.349456298,5.731489114,9.96E-09,6.35E-07,105.296497,73.46122817,116.3393656,40.87422954,341.7179575,357.5062946,312.676148
CG7530,371.4013959,-1.690302803,0.295039225,-5.729078229,1.01E-08,6.40E-07,696.1836354,410.5778232,550.1471693,453.0227108,142.468514,228.1230642,119.2868542
UbcE2H,1091.122503,-0.685190556,0.119702316,-5.724121124,1.04E-08,6.55E-07,1336.140986,1196.512333,1217.619631,1458.982916,788.7387298,855.4614907,784.4014349
CG42554,192.3718923,-1.284441598,0.224535513,-5.720438515,1.06E-08,6.65E-07,205.4815135,249.5669121,252.3972676,322.4522553,103.2380536,114.0615321,99.40571179
Cht12,41.40066277,6.552405193,1.148732362,5.704031166,1.17E-08,7.28E-07,0,0,3.943707307,0,26.84189395,108.1030938,150.9159443
CG31705,54.15731322,4.459626122,0.78279701,5.69704031,1.22E-08,7.53E-07,5.111480436,1.006318194,9.859268267,5.676976326,33.03617716,117.4663539,206.9446182
CG5065,107.7326526,2.009874032,0.35288187,5.695600151,1.23E-08,7.55E-07,60.31546914,23.14531846,54.22597547,49.95739167,189.9580187,210.2477494,166.2786452
CG2765,443.7803009,1.086761282,0.191412607,5.677584676,1.37E-08,8.33E-07,319.9786753,357.2429589,248.4535603,272.4948636,540.9674011,658.8330286,708.4916186
Non1,2197.594648,-0.741325694,0.130821784,-5.666683887,1.46E-08,8.83E-07,2855.272971,2559.067168,2787.215139,2417.256519,1512.437486,1429.173973,1822.739279
