Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,patr1_T1,patr1_T2,patr1_T3,esgTS_T1,esgTS_T2,esgTS_T3
Fhos,271.99260597076625,1.87983486293354,0.15286926136306195,12.297010178318082,9.398912279677085e-35,1.1047336894881989e-32,395.42154288934887,445.49854140178456,442.99506934803696,119.81695015554314,134.45269146319455,93.77084056668926
boi,709.1596129369691,-1.342374932563782,0.11107454120085547,-12.085352035228063,1.2622834980313217e-33,1.4648879886014122e-31,352.49749382570246,402.9460491431346,446.3853377359046,1023.3255076247499,996.3289187913648,1033.4743705009582
GILT1,128.35218109989188,-2.63977374201674,0.2203047835485462,-11.98237141970656,4.3956709630972795e-33,5.037438923709482e-31,40.32259154463755,33.86831016504795,32.77259441605376,207.68271360294142,199.09340851280734,256.3734683578632
pyd3,85.18804213944584,-4.752421738810569,0.3973995580631476,-11.95879975803949,5.839991488535355e-33,6.610005181097794e-31,6.5036437975221855,4.342091046801019,7.910626238357803,147.3304720431123,165.4802356470087,179.56118406387307
cv-2,382.9802877470039,1.479117713887204,0.12378122144745315,11.949451593633773,6.535506791626194e-33,7.307015398247433e-31,551.5089940298813,553.1823993624498,586.5164311011,188.15698839240846,212.02155192272988,206.49536167345403
Slob,75.17253254151423,4.175226548291349,0.3505425037820357,11.91075690749179,1.0402861697862304e-32,1.1490775427229108e-30,117.06558835539933,151.97318663803568,158.21252476715605,5.325197784690806,9.480638500609873,8.978059203193654
NetB,85.22801596331732,5.642661409865908,0.47462722000848373,11.888617365361068,1.3563327941526393e-32,1.4803403639037376e-30,169.0947387355768,180.6309875469224,151.4319879914208,1.7750659282302685,3.447504909312681,4.987810668440918
CG2909,127.17473356320562,2.3622062538996325,0.1988517310620402,11.879234046811703,1.5175148334811013e-32,1.636773646277028e-30,218.52243159674543,206.68353382772852,213.5869084356607,41.714049313411316,39.64630645709583,42.8951717485919
side-V,131.48662725538907,2.4225096567632467,0.20428881894688497,11.858258661689646,1.9498814565285722e-32,2.0786643248202267e-30,223.72534663476318,247.4991896676581,193.2452981084549,39.05145042106591,40.50818268442401,44.89029601596827
Exn,506.78623445923256,-1.8331180446847173,0.15464724269084068,-11.853544963290107,2.0627619584630227e-32,2.1737243258837922e-30,167.79400997607237,199.7361881528469,298.3436181323514,775.7038106366274,798.0973865058857,801.0423933516115
stx,741.124127361385,-1.276692675378716,0.10789937625330347,-11.832252601549479,2.6590854793692015e-32,2.77028359941555e-30,405.82737296538437,419.44599512097847,473.50748483884564,1000.2496505577564,1039.4227301577735,1108.2915305275721
zormin,341.90591893438415,1.5797151911845526,0.13460855678019334,11.735622377737252,8.370828943649452e-32,8.622894354536874e-30,455.25506582655294,536.682453384606,544.7031209840659,183.7193235718328,165.4802356470087,165.59531419223848
CG45263,93.64555997482427,6.080160140414972,0.5183136984587202,11.730656856060715,8.876713124472745e-32,9.042411769462903e-30,182.1020263306212,214.49929771197034,157.08243530453353,0.8875329641151343,4.309381136640852,2.992686401064551
Tob,203.27673330042933,-1.9395370679311124,0.1655911452075637,-11.712806657022384,1.0959076521823362e-31,1.1040968522206218e-29,81.94591184877953,84.23656630793978,85.8867991593133,289.3357463015338,349.05987206790894,329.1955041171006
Rbfox1,721.0355015799622,-1.583003468703911,0.1354091146827509,-11.690523731823511,1.425051081604911e-31,1.4200943821906332e-29,334.28729119264034,314.3673917883938,435.08444310967917,924.8093486079699,1157.4997733017326,1160.1647614793576
CG2064,169.269859230334,2.1120687044524518,0.18071391623706948,11.687360599732315,1.4791211787735502e-31,1.458127200752248e-29,308.2727160025516,250.97286250509893,265.5710237162977,65.67743934451994,54.29820232167473,70.82691149186104
Myo61F,466.72378522453545,1.3350807563980795,0.11440457489355495,11.669819652232214,1.8180824853757294e-31,1.7732106623324137e-29,673.7774974232984,657.3925844856743,674.6634091856583,279.5728836962673,258.5628681984511,256.3734683578632
GstD5,71.87460863663232,4.926774185735267,0.4228075530154188,11.652521698342508,2.227676432825191e-31,2.1498250038043525e-29,143.08016354548806,136.34165886955202,137.8709144399503,2.662598892345403,4.309381136640852,6.982934935817286
Tina-1,203.6119716718788,-1.856238206349522,0.16051513425360622,-11.564256635245089,6.253047844424116e-31,5.97166069142503e-29,89.75028440580616,81.63131167985917,93.79742539767109,307.0864055838365,323.20358524806386,326.20281771603607
bt,87.66096853976659,3.1891769483458328,0.27596178042096314,11.556589262038152,6.83708004900648e-31,6.462097926731073e-29,127.47141843143483,167.60471440651935,178.55413509436184,12.425461497611881,18.961277001219745,20.948804807451857
CG2201,406.88815509154693,-1.6170215781545552,0.14004998468407062,-11.546031810016158,7.73081200377453e-31,7.232253515367847e-29,244.53700678683416,164.13104156907852,195.5054770337,622.1606078447091,589.5233394924685,625.4714578224912
CLIP-190,1282.1948906720245,1.0427941990417595,0.0909210314629286,11.469229750950856,1.883280859104418e-30,1.7440322137645762e-28,1683.1430147987414,1731.6259094642464,1764.0696511537901,795.2295358471604,866.1856084648111,852.9156243033971
Dab,217.66882287203012,-1.9086711407539219,0.16659764035457955,-11.456771756740281,2.1747033094522308e-30,1.9937679941058053e-28,78.04372557026622,110.2891125887459,83.6266202340682,323.06199893790887,343.88861470393994,367.1028651972516
CG15186,448.8139688918033,1.4693146072417897,0.12832718015581174,11.4497537112386,2.3581455232368972e-30,2.1260129820579607e-28,594.4330430935278,708.6292588379264,673.5333197230358,235.1962354905106,213.74530437738622,267.3466518284332
CG32549,421.3515673287722,1.3667014440363372,0.11936788776171421,11.449490056861759,2.365328579514747e-30,2.1260129820579607e-28,590.5308568150144,593.9980552023794,637.3704569191144,248.5092299522376,229.2590764692933,228.44172861459407
Lmpt,1794.8601883251647,1.2203246522576392,0.1066234075484844,11.445185258243844,2.485728934360107e-30,2.2125400844867438e-28,2800.469019213053,2333.4397285508676,2401.4401080729044,1025.9881065170953,999.7764237006776,1208.0477438963903
Traf4,457.60602469338403,1.4349817889458714,0.1254802917206667,11.435913714165592,2.766093357719826e-30,2.438417683036093e-28,604.8388731695633,697.3398221162437,701.7855562885994,226.32090584935926,274.9385165176863,240.41247421885225
CG34347,811.6371617253118,-1.3553882962332167,0.11878823693414109,-11.410122173836749,3.722061640628048e-30,3.2498915353598043e-28,399.32372916786215,438.55119572690296,530.0119579699729,1084.5652821486942,1259.2011681264569,1158.1696372119814
cac,418.8391760232865,4.0634417108793786,0.3580181057303075,11.349821827000952,7.431397731783266e-30,6.427457962734809e-28,664.6723961067673,781.5763884241835,924.4131804252404,30.176120779914566,41.370058911752174,70.82691149186104
tor,74.5452946160839,4.226958126667758,0.3726735188006907,11.34225511989859,8.102908196087468e-30,6.9427534898813e-28,153.48599362152356,168.47313261587956,102.83814109865143,13.312994461727016,5.171257363969022,3.9902485347527348
Mtl,809.7524218696163,1.276858250962113,0.11280490508677753,11.319173133294719,1.0546193381025902e-29,8.952546381226431e-28,1252.601795402773,1047.3123604884058,1141.3903572487689,514.7691191867779,477.4794299398063,424.96146895116624
CG6330,118.20622999035311,2.6395573581934673,0.23360089885400664,11.299431513930557,1.3207016509782004e-29,1.1108433702906552e-27,231.52971919178978,223.1834798055724,155.95234584191098,31.951186708144835,26.718163047173277,39.902485347527346
upd3,844.2678831581866,1.495348817990777,0.1324578014386524,11.289246852578518,1.4830196366115804e-29,1.2360294571322699e-27,1380.0732138342078,1035.154505557363,1324.4648501936208,381.63917456950776,433.52374234606964,510.75181244835005
CG7991,244.97322521288788,1.7524955444447574,0.155590785041812,11.263491883364482,1.9872509276721746e-29,1.641361847288153e-27,382.4142552943045,389.0513577933713,362.75871750183643,107.39148865793125,134.45269146319455,93.77084056668926
form3,65.82110290608601,4.370398500142266,0.3881028074865723,11.260929876920498,2.045884329080556e-29,1.6747024579473694e-27,104.05830076035497,134.6048224508316,137.8709144399503,7.100263712921074,4.309381136640852,6.982934935817286
l(1)G0193,317.19136325851946,-1.8510456411878329,0.16442307486918223,-11.257821584108898,2.1193288052971498e-29,1.719469600616307e-27,135.27579098846147,105.94702154194488,174.03377724387167,443.76648205756715,553.3245379446853,490.8005697745864
Col4a1,100.92625683127437,6.550894618189385,0.5832748884536482,11.231230330448167,2.8646159441361695e-29,2.303754296126351e-27,159.98963741904575,178.02573291884178,261.0506658658075,1.7750659282302685,1.7237524546563405,2.992686401064551
tkv,1024.655271255296,1.075842622392941,0.09584450783934509,11.224875025664195,3.078213402497164e-29,2.4540052586168693e-27,1391.7797726697477,1401.626989907369,1376.4489654742576,706.4762394356469,629.1696459495643,642.4300140951902
CG10663,197.7875315174869,1.8694005861233225,0.1665917126169278,11.221450075502544,3.1998010669364297e-29,2.5289462225580332e-27,319.9792748380915,303.0779550667111,309.64451275857687,94.96602716031937,92.22075632411422,66.8366629571083
Kank,368.709937401153,-1.400049713098963,0.12560114139159081,-11.146791323607339,7.423524006373772e-29,5.81699727268673e-27,192.50785640665669,205.8151156183683,209.06655058517052,531.6322455049655,558.4957953086544,514.7420609831028
sdk,498.56794989692247,-1.394480174928535,0.12520420841662108,-11.137646190680401,8.226486373553262e-29,6.391561616333585e-27,261.44648066039184,242.28868041149687,322.07549684742486,713.576503148568,737.7660505929138,714.2544877207395
